REF DU MUSEE,NOM DU MUSEE,ANNEE,REGION,VILLE,DATE APPELLATION,PAYANT,GRATUIT,TOTAL,NOTE,ID MUSEOFILE,DEPARTEMENT,OBSERVATIONS
7510705,Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2019,ILE-DE-France,PARIS,06/01/2002,2010889,1640727,3651616,,M5060,PARIS,7510103 ; 7510705 ; 7510603
7510701,Musée de l'Armée,2019,ILE-DE-France,PARIS,06/01/2002,672810,579285,1252095,,M5025,PARIS,
7511402,Les Catacombes,2019,ILE-DE-France,PARIS,,537503,64397,601900,,,PARIS,7510307 ; 7510403 ; 7511402
7511615,Musée d'Art Moderne de la ville de Paris,2020,ILE-DE-France,PARIS,08/07/2004,93935,195084,289019,,M1101,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2020,ILE-DE-France,PARIS,08/07/2004,87594,262947,350541,,M1111,PARIS,
7510709,Musée du Quai Branly - Jacques Chirac,2020,ILE-DE-France,PARIS,09/12/2004,265767,173037,438804,,M5055,PARIS,
7510701,Musée de l'Armée,2011,ILE-DE-FRANCE,PARIS,06/01/2002,842748,591102,1433850,,,PARIS,
7510103,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2011,ILE-DE-FRANCE,PARIS,06/01/2002,470133,226975,697108,,,PARIS,
7510103,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2012,ILE-DE-FRANCE,PARIS,06/01/2002,590326,259642,849968,,,PARIS,
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2012,ILE-DE-FRANCE,PARIS,06/01/2002,2778493,1099560,3878053,,,PARIS,
7510701,Musée de l'Armée,2013,ILE-DE-FRANCE,PARIS,06/01/2002,850889,524135,1375024,,,PARIS,
7510709,Musée du Quai Branly - Jacques Chirac,2013,ILE-DE-FRANCE,PARIS,09/12/2004,334417,735042,1069459,,,PARIS,
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2014,ILE-DE-FRANCE,PARIS,06/01/2002,2517861,1002502,3520363,,,PARIS,
7510705,Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2015,ILE-DE-FRANCE,PARIS,06/01/2002,1853666,1586166,3439832,,,PARIS,7510103 ; 7510705 ; 7510603
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2015,ILE-DE-FRANCE,PARIS,06/01/2002,2233094,887209,3120303,,,PARIS,
7510701,Musée de l'Armée,2016,ILE-DE-FRANCE,PARIS,06/01/2002,680065,526000,1206065,,,PARIS,
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2016,ILE-DE-FRANCE,PARIS,06/01/2002,313742,293110,606852,,,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2016,ILE-DE-FRANCE,PARIS,08/07/2004,210749,684984,895733,,,PARIS,
7510709,Musée du Quai Branly,2016,ILE-DE-FRANCE,PARIS,09/12/2004,284726,626119,910845,,,PARIS,
7510305,Musée National Picasso,2018,ILE-DE-FRANCE,PARIS,06/01/2002,403745,220808,624553,,,PARIS,
7510106,Musée du Louvre,2020,ILE-DE-France,PARIS,06/01/2002,1222612,1474972,2697584,,M5031,PARIS,
7510102,Musée des Arts Décoratifs - MAD,2021,Île-de-France,PARIS,06/01/2002,152838,238541,391379,,M5021,Paris,
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2021,Île-de-France,PARIS,06/01/2002,333491,296926,630417,,M7006,Paris,Muséum d'histoire naturelle
7510307,Musée Carnavalet-Histoire de Paris,2011,ILE-DE-FRANCE,PARIS,08/07/2004,57374,548049,605423,,,PARIS,7510307 ; 7510403 ; 7511402
7511615,Musée d'Art Moderne de la ville de Paris,2011,ILE-DE-FRANCE,PARIS,08/07/2004,326182,275435,601617,,,PARIS,
7510709,Musée du Quai Branly - Jacques Chirac,2011,ILE-DE-FRANCE,PARIS,09/12/2004,780886,676142,1457028,,,PARIS,
7510703,Musée National Auguste Rodin,2012,ILE-DE-FRANCE,PARIS,06/01/2002,445457,273357,718814,,,PARIS,
7510102,Musée des Arts Décoratifs (Union Centrale des Arts Décoratifs),2012,ILE-DE-FRANCE,PARIS,06/01/2002,325416,277682,603098,,,PARIS,7510102 ; 7510107 ; 7511001
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2013,ILE-DE-FRANCE,PARIS,06/01/2002,498855,253566,752421,,,PARIS,
7511615,Musée d'Art Moderne de la ville de Paris,2013,ILE-DE-FRANCE,PARIS,08/07/2004,367548,327828,695376,,,PARIS,
7510705,Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2014,ILE-DE-FRANCE,PARIS,06/01/2002,1919782,1560827,3480609,,,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2014,ILE-DE-FRANCE,PARIS,08/07/2004,341791,660926,1002717,,,PARIS,
7510703,Musée National Auguste Rodin,2014,ILE-DE-FRANCE,PARIS,06/01/2002,484125,203132,687257,,,PARIS,
7511615,Musée d'Art Moderne de la ville de Paris,2014,ILE-DE-FRANCE,PARIS,08/07/2004,266000,327300,593300,,,PARIS,
7510106,Musée du Louvre,2014,ILE-DE-FRANCE,PARIS,06/01/2002,5646956,3454918,9101874,,,PARIS,
7510106,Musée du Louvre,2015,ILE-DE-FRANCE,PARIS,06/01/2002,5435535,2933898,8369433,,,PARIS,7510106 ; 7510602
7510103,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2015,ILE-DE-FRANCE,PARIS,06/01/2002,531570,236463,768033,,,PARIS,7510103 ; 7510705 ; 7510603
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2015,ILE-DE-FRANCE,PARIS,08/07/2004,193143,615181,808324,,,PARIS,
7511615,Musée d'Art Moderne de la ville de Paris,2016,ILE-DE-FRANCE,PARIS,08/07/2004,282863,330539,613402,,,PARIS,
7510701,Musée de l'Armée,2017,ILE-DE-FRANCE,PARIS,06/01/2002,667162,509825,1176987,,,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2017,ILE-DE-FRANCE,PARIS,08/07/2004,379048,792172,1171220,,,PARIS,
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2018,ILE-DE-FRANCE,PARIS,06/01/2002,404497,344572,749069,,,PARIS,
7510106,Musée du Louvre,2018,ILE-DE-FRANCE,PARIS,06/01/2002,5988065,4117897,10105962,,,PARIS,
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2018,ILE-DE-FRANCE,PARIS,08/07/2004,397257,806553,1203810,,,PARIS,
7510703,Musée National Auguste Rodin,2018,ILE-DE-FRANCE,PARIS,06/01/2002,390870,169105,559975,,,PARIS,
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2019,ILE-DE-France,PARIS,06/01/2002,525703,312883,838586,,M7006,PARIS,
7510503,Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle),2020,ILE-DE-France,PARIS,06/01/2002,180710,153938,334648,,M7006,PARIS,
7510705,Établissement public du musée d'Orsay et du musée de l'Orangerie - Valéry Giscard d'Estaing - Musée d'Orsay,2020,ILE-DE-France,PARIS,06/01/2002,424192,443082,867274,,M5060,PARIS,
7510103,Établissement public du musée d'Orsay et du musée de l'Orangerie - Valéry Giscard d'Estaing - Musée de l'Orangerie,2020,ILE-DE-France,PARIS,06/01/2002,119888,111268,231156,,M5030,PARIS,
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2020,ILE-DE-France,PARIS,06/01/2002,648090,264713,912803,,M5050,PARIS,
